uid	format-tags-com.android.version	tag
10017015	-1	good
10017025	-1	bad
10017062	3	bad
10017094	0	bad
10017124	-1	good
10017129	0	good
10017131	-1	good
10017145	-1	bad
10017149	-1	good
10017177	-1	good
10017181	-1	good
10017185	0	good
10017191	3	bad
10017220	1	bad
10017230	-1	good
10017235	-1	good
10017241	-1	good
10017285	-1	good
10017303	-1	good
10017304	-1	good
10017308	1	good
10017320	-1	good
10017325	0	good
10017346	-1	good
10017373	-1	good
10017374	-1	good
10017383	-1	bad
10017388	-1	good
10017395	-1	bad
10017400	-1	bad
10017435	-1	good
10017444	-1	bad
10017493	-1	good
10017516	-1	good
10017520	1	bad
10017526	-1	good
10017539	-1	good
10017547	-1	good
10017560	0	bad
10017575	-1	good
10017593	-1	bad
10017613	-1	good
10017622	-1	good
10017675	-1	bad
10017683	-1	good
10017690	-1	good
10017724	-1	good
10017737	1	good
10017754	-1	good
10017779	0	good
10017802	2	good
10017814	-1	good
10017862	0	bad
10017869	-1	bad
10017889	-1	bad
10017895	-1	bad
10017896	-1	good
10017899	-1	good
10017938	1	good
10017980	-1	good
10018008	-1	good
10018020	1	good
10018075	-1	good
10018081	-1	good
10018131	0	good
10018139	-1	good
10018141	1	good
10018168	-1	good
10018182	-1	bad
10018190	1	good
10018248	0	good
10018263	2	good
10018267	-1	bad
10018283	1	good
10018291	-1	good
10018350	-1	good
10018367	-1	good
10018399	0	good
10018434	-1	good
10018450	-1	good
10018475	-1	good
10018507	0	bad
10018525	2	bad
10018530	-1	good
10018569	1	good
10018588	-1	good
10018607	-1	good
10018621	1	good
10018693	-1	good
10018731	0	good
10018751	-1	good
10018784	-1	bad
10018827	-1	bad
10018844	-1	good
10018853	-1	good
10018871	-1	bad
10018910	1	good
10018922	-1	good
10018954	-1	good
10018956	-1	good
10018958	-1	good
10019010	-1	good
10019025	-1	bad
10019051	-1	good
10019063	-1	bad
10019065	-1	good
10019138	-1	bad
10019155	-1	good
10019167	-1	bad
10019169	1	good
10019174	-1	good
10019182	-1	good
10019188	-1	good
10019205	-1	good
10019212	0	bad
10019214	2	good
10019239	0	good
10019278	-1	good
10019281	-1	bad
10019307	-1	good
10019354	-1	good
10019361	1	good
10019375	-1	good
10019378	1	bad
10019425	0	bad
10019427	1	good
10019438	-1	good
10019444	-1	bad
10019457	1	bad
10019458	-1	bad
10019463	1	good
10019466	-1	good
10019471	-1	bad
