uid	streams-0-r_frame_rate	format-duration	format-tags-creation_time	streams-1-nb_frames	format-start_time	streams-1-duration	streams-0-nb_frames	streams-0-tags-creation_time	streams-0-duration	streams-1-tags-creation_time	streams-1-duration_ts	streams-0-codec_time_base	streams-1-bit_rate	format-size	format-bit_rate	streams-1-start_pts	streams-0-avg_frame_rate	streams-0-duration_ts	streams-1-start_time	streams-0-bit_rate	tag
10022338	30	16153333	844	699	-3515	16111111	485	844	16153333	844	710500	60	86761	1438795	712568	-155	30	9692	-3515	621808	bad
10022339	30	17024000	552	798	0	17064792	509	552	16962133	552	819110	60	127889	1872691	880023	0	30	1526592	0	751342	good
10022345	60	16683000	557	782	0	16682666	333	557	16677578	557	800768	40	96228	1772814	850117	0	20	1500982	0	748947	good
10022353	10	15019000	751	704	0	15018667	149	751	14941000	751	720896	20	128089	713353	379973	0	10	1344690	0	250493	bad
10022372	25	12785011	356	553	-21020	12703492	359	356	12785000	356	560224	56	87362	1123645	703101	-927	28	7671	-21020	611616	bad
10022382	30	16504999	551	770	0	16426666	496	551	16524867	551	788480	60	96357	1759637	852898	0	30	1487238	0	750792	good
10022384	30	13723000	558	642	0	13704479	412	558	13722533	558	657815	60	95940	1448867	844635	0	30	1235028	0	742471	good
10022392	30	13555011	556	587	-6939	13483832	407	556	13555000	556	594637	60	86893	1201041	708839	-306	30	8133	-6939	617729	bad
10022420	25	16683000	830	782	0	16719708	416	830	16660256	830	802546	50	127763	1578382	756881	0	25	1499423	0	626492	good
10022429	30	12928000	538	606	0	12973604	386	538	12856167	538	622733	60	127688	1423766	881043	0	30	1157055	0	753574	good
10022445	30	14675000	911	632	0	14675011	421	911	14648133	911	647168	57	64112	1430816	780001	0	29	1318332	0	711517	good
10022448	25	17995011	912	778	-8254	17963968	450	912	17995000	912	792211	50	85660	1588339	706124	-364	25	10797	-8254	616729	good
10022473	30	17052000	604	797	0	17049771	512	604	17051656	604	818389	60	127662	1893748	888457	0	30	1534649	0	757456	good
10022491	17	12524000	1227	585	0	12480000	205	1227	12577656	1227	599040	33	96463	811374	518284	0	16	1131989	0	413401	good
10022494	30	15381000	641	721	0	15402812	453	641	15365200	641	739335	59	96106	1658503	862624	0	29	1382868	0	761537	good
10022498	25	17923946	1317	776	-1837	17923946	448	1317	17916667	1317	790446	50	85786	1594249	711561	-81	25	10750	-1837	622185	good
10022517	30	16727000	607	784	0	16725333	502	607	16733433	607	802816	60	256022	2119135	1013515	0	30	1506009	0	752650	good
10022522	30	12544000	918	588	0	12570437	374	918	12456411	918	603381	60	127912	1384154	882751	0	30	1121077	0	756338	good
10022539	30	17687415	602	765	-6190	17687415	530	602	17686667	602	780015	60	63359	1523139	688914	-273	30	10612	-6190	621800	good
